,Transaction_ID,Sale_Date,Shoe_Model,Colorway,Condition,Retail_Price_USD,Resale_Price_USD,Sales_Channel,Days_in_Inventory,Profit_Margin_USD
0,TRX-100001,2024-10-23,Air Jordan 11 Retro,Sail,Used,225.0,194.67,goat,13.0,-30.330000000000013
1,TRX-100002,2023-10-23,Air Jordan 1 High,Mocha,Deadstock (Brand New),185.0,230.46,stockx,10.0,45.46000000000001
2,TRX-100003,2023-11-13,Air Jordan 4 Retro,Concord,Deadstock (Brand New),212.0,270.37,kick hub 2026,33.0,58.370000000000005
3,TRX-100004,2024-02-01,Air Jordan 4 Retro,Mocha,Used,223.0,180.43,stadium goods,60.0,-42.56999999999999
4,TRX-100005,2023-05-29,Air Jordan 1 Low,Mocha,Used,137.0,117.43,kick hub 2026,30.0,-19.569999999999997
5,TRX-100006,2024-05-04,Air Jordan 1 Low,Concord,VNDS (Very Near Deadstock),131.0,141.32,kick hub 2026,34.0,10.319999999999991
6,TRX-100007,2025-07-21,Air Jordan 3 Retro,Sail,Used,204.0,138.28,walk-in retail,38.0,-65.72
7,TRX-100008,2023-05-13,Air Jordan 1 Low,Black Cat,Deadstock (Brand New),129.0,295.9,kick hub 2026,31.0,166.89999999999998
8,TRX-100009,2023-05-30,Air Jordan 3 Retro,Bred,VNDS (Very Near Deadstock),205.0,248.04,stockx,1.0,43.03999999999999
9,TRX-100010,2023-10-16,Air Jordan 4 Retro,Bred,Used,219.0,170.96,walk-in retail,44.0,-48.03999999999999
10,TRX-100011,2025-04-10,Air Jordan 1 Low,Chicago,VNDS (Very Near Deadstock),136.0,177.57,goat,5.0,41.56999999999999
11,TRX-100012,2024-01-06,Air Jordan 4 Retro,Mocha,Used,210.0,169.77,kick hub 2026,6.0,-40.22999999999999
12,TRX-100013,2023-06-24,Air Jordan 11 Retro,Black Cat,Used,225.0,199.1,walk-in retail,56.0,-25.90000000000001
